SECTOR,OCCUPANCY_RATE_BEDS
Mixed Adult,87.5
Mixed Adult,50
Mixed Adult,90
Mixed Adult,93.33
Men,100
Men,100
Mixed Adult,100
Youth,75
Mixed Adult,3.33
Mixed Adult,100
Men,95.59
Men,100
Men,100
Mixed Adult,100
Men,100
Men,100
Men,64.63
Men,100
Men,100
Men,100
Men,100
Mixed Adult,97.14
Mixed Adult,8.33
Women,20
Women,100
Men,100
Men,50
Youth,100
Youth,50
Youth,100
Youth,100
Youth,100
Youth,100
Youth,96.43
Mixed Adult,100
Mixed Adult,100
Mixed Adult,100
Mixed Adult,100
Men,96.67
Mixed Adult,100
Mixed Adult,95.65
Youth,98
Youth,95
Youth,100
Mixed Adult,100
Mixed Adult,90
Women,97.3
Women,88.46
Women,90.38
Women,100
Mixed Adult,100
Mixed Adult,98.57
Mixed Adult,97
Mixed Adult,73.33
Youth,75
Youth,100
Men,84
Men,100
Men,100
Women,100
Mixed Adult,97.92
Men,100
Women,100
Men,100
Mixed Adult,100
Women,78.95
Men,97.01
Women,91.59
Mixed Adult,66.67
Mixed Adult,95
Mixed Adult,100
Mixed Adult,100
Mixed Adult,100
Mixed Adult,100
Youth,97.78
Youth,100
Mixed Adult,68
Mixed Adult,100
Families,37.5
Families,53.85
Men,96.3
Men,64.71
Men,88.24
Youth,83.33
Youth,100
Women,100
Women,100
Women,100
Women,100
Women,100
Women,100
Mixed Adult,100
Mixed Adult,100
Women,100
Mixed Adult,91.4
Women,100
Men,100
Men,100
Men,100
Men,100
Women,100
Men,100
Men,100
Youth,100
Mixed Adult,100
Women,50
Women,100
Youth,100
Youth,100
Women,100
Youth,100
Women,97.5
Youth,100
Youth,100
Youth,100
Youth,87.5
Youth,25
Youth,91.43
Mixed Adult,87.5
Mixed Adult,50
Mixed Adult,90
Mixed Adult,93.33
Men,100
Men,100
Mixed Adult,100
Youth,75
Mixed Adult,100
Men,95.59
Men,100
Men,100
Mixed Adult,98.92
Men,100
Men,100
Men,65.85
Men,100
Men,100
Men,100
Men,100
Mixed Adult,97.14
Women,100
Men,100
Men,50
Youth,100
Youth,50
Youth,100
Youth,98.94
Youth,100
Youth,100
Youth,96.43
Mixed Adult,100
Mixed Adult,100
Mixed Adult,100
Mixed Adult,100
Men,83.33
